static_text,log_level,project
No serialized RegionInfo in ,warn,HBase
Scanning META |  starting at row= |  stopping at row= |  for max= |  with caching=,trace,HBase
Got exception in closing the meta scanner visitor,debug,HBase
Ignoring invalid region for server  | ; cell=,error,HBase
Added region *,debug,HBase
Added * regions to meta.,info,HBase
Updated * in hbase:meta,info,HBase
Deleted table  |  state from META,info,HBase
Updated row * with server=,info,HBase
Deleted ,info,HBase
Deleted * regions from META,info,HBase
Deleted regions: *,debug,HBase
Overwritten  |  regions to Meta,info,HBase
Overwritten regions: * ,debug,HBase
"Deleted merge references in  | , deleted qualifiers  | , ",info,HBase
* *,debug,HBase
Failed to parse the passed region name: ,warn,HBase
No serialized RegionInfo in ,warn,HBase
Scanning META |  starting at row= |  stopping at row= |  for max= |  with caching=,debug,HBase
Ignoring invalid region for server  | ; cell=,error,HBase
Region is split but NOT offline: ,warn,HBase
"TimeRange failed, likely caused by integer overflow. ",error,HBase
"table=*, state=*",debug,HBase
$$$Empty Message$$$,debug,HBase
$$$Empty Message$$$,debug,HBase
", ",error,HBase
$$$Empty Message$$$,debug,HBase
Failed to run HBCK chore,debug,HBase
Failed to get PID from [ | ],warn,HBase
Don't know how to get PID from [ | ],warn,HBase
Failed to get IP address bytes,warn,HBase
"Skipping flush region, because the located region  |  is different than  |  requested region ",info,HBase
Using  |  for intercepting the RpcRetryingCaller,trace,HBase
Got exception making request  |  to ,info,HBase
"Scanner= |  expired, current region location is ",info,HBase
Failed to relocate region,info,HBase
"Scanner= |  has received an exception, and the server  | asked us to reset the scanner state.",info,HBase
Took  | ms to fetch  |  rows from scanner=,info,HBase
"Ignore, probably already closed. Current scan: ",warn,HBase
Open scanner= |  for scan= |  on region ,info,HBase
Throwing PFFE :  |  tries : ,debug,HBase
 been failing for a long time. clearing out.,error,HBase
Preemptive failure enabled for : ,warn,HBase
Clearing out PFFE for server ,info,HBase
"Call:  | , ",trace,HBase
$$$Empty Message$$$,debug,HBase
$$$Empty Message$$$,info,HBase
"* is true, but * is not sethbase.status.publishedhbase.status.listener.class",warn,HBase
"Failed to create ClusterStatusListener, not a critical problem, ignoring...",warn,HBase
There is a new dead server: ,info,HBase
"Unexpected exception, continuing.",error,HBase
waitForTermination interrupted,warn,HBase
Error calling coprocessor service  |  for row ,warn,HBase
"No regions were selected by key range start= | , end=",info,HBase
Left over  |  task(s) are processed on server(s): ,info,HBase
Regions against which left over task(s) are processed: ,info,HBase
"The  |  setting:  |  is smaller than  | , will use  |  instead.",warn,HBase
"hbase.status.published is true, but hbase.status.listener.class is not set - not listening status",warn,HBase
connection construction failed,debug,HBase
Nonce generator is being replaced by test code for ,warn,HBase
Retrieve cluster id failed,warn,HBase
"clusterid came back null, using default ",debug,HBase
Table * not enabled,debug,HBase
Table * has not deployed region *,debug,HBase
Table * has * regions not deployed,debug,HBase
"Table * expected to have * regions, but only * available",debug,HBase
Table * should be available,trace,HBase
Table * does not exist,warn,HBase
"locateRegionInMeta parentTable='*', attempt=* of * failed; retrying after sleep of *",debug,HBase
$$$Empty Message$$$,info,HBase
Master connection is not running anymore,info,HBase
Checking master connection,warn,HBase
Closing master protocol: ,info,HBase
"Coding error, see method javadoc. row= | null | , tableName= | null",warn,HBase
Region  |  moved to  | : |  according to ,trace,HBase
$$$Empty Message$$$,error,HBase
$$$Empty Message$$$,error,HBase
0x%x |  stop prefetching when scanning  |  as the cache size  |  is greater than the maxCacheSize ,debug,HBase
0x%x |  resume prefetching,debug,HBase
Call failed on IOException,warn,HBase
$$$Empty Message$$$,error,HBase
Exception occurred! Exception details:  | ;\nActions: ,error,HBase
Closing scanner id=,trace,HBase
Scan with primary region returns ,debug,HBase
Imposible? Arrive at an unreachable line...,error,HBase
Setting current scanner as id= |  associated with replica=,trace,HBase
"Closing scanner id= | , replica= |  because slow and replica= |  succeeded",trace,HBase
 server-side Connection retries=,info,HBase
