,static_text,log_level
14847,Failed to register with JMX,warn
11871,Restoring state for the * (taskIdx=*).,info
13250,Starting KafkaOffsetBackingStore,info
13925,Unexpected exception,warn
10638,Restoring job * from latest valid checkpoint: *.,info
5887,Command: * received from *,info
4099,Write to * on * * in *ms,info
723,Exception occurred during performing action: ,warn
14339,"Too busy to snap, skipping",warn
2428,unknown request type in the queue: ,warn
13700,Failed to create or verify topics *,warn
10604,Failed to locally delete job directory ,warn
14578,ReadOnlyRequestProcessor exited loop!,info
4204,"Found more than 1 active master, hash *",warn
8403,Failed closing *,warn
14716,Passed predicate,info
9165,Docker PID  |  running,info
8986,You are using Cassandra with an unsupported deployment. The intended logging implementation library logback is not used by slf4j. Detected slf4j logger factory: *. You will not be able to dynamically manage log levels via JMX and may have performance or other issues.,warn
5701,Test mail sent successfully!!,info
12243,Could not properly close the Yarn application status monitor.,info
14759,Error closing logs ,warn
254,unexpected row-key: ,warn
4542,Call to makeQualified failed on  |  ,info
11857,Path does not exist: *,warn
10072,Flushing was interrupted.,warn
14804,Configuring CommitProcessor with commitBatchSize *,info
12805,Error while closing the error stream,warn
10264,Regular expression ' | ' for property ' | ' not valid. Using default,warn
7535,"Thread '*' failed to acquire lock to page with id '*', attempted for * out of allowed *. The thread that holds the lock has name '*'.",warn
4463,"Region  |  got merge recently, its file(s) will be cleaned by CatalogJanitor later",info
16110,could not lock IndexWriter,warn
6663,* - invalid column number: * at row * *,warn
16715,listener failed while handling triggered event [*],warn
3945,Skipping removeExpiredKeys() because not running as master.,info
14787,Becoming a voting participant,info
3199,Compacting ,info
3400,Unable to run in-memory compaction on */*; exception=*,warn
15750,"failed to apply updated cluster state in [*]:\nversion [*], uuid [*], source [*]",warn
11401,Could not create remote rpc invocation message. Failing rpc invocation because...,warn
9410,Public key authentication failed for user *: *,warn
5957,Retry reset after: *,info
5,Added * regions to meta.,info
8056,"Executor has been shut down, not submitting *",info
3561,Open region aborted since it isn't opening any more,warn
13778,*: Deactivating RoundTripWorker.,info
17601,out: *,info
698,Unbalancing regions,info
16905,[*] Starting data frame analytics,info
15370,cannot obtain short path for [*] because JNA is not available,warn
10629,"Could not acknowledge the checkpoint * for task * of job * at *, because the task's execution attempt id was unknown. Discarding the state handle to avoid lingering state.",warn
9298,Repository blacklist URI is empty. Ignoring.,warn
3306,"Serving as  | , RpcServer on  | , sessionid=0x",info
11302,Starting the SlotManager.,info
14554,******* GOODBYE * ********,warn
6895,Valid alias found for *,info
13659,Finished reporting metrics with response code *,info
9531,      adding overriden maven artifact:  |  (original location:  | ),info
8695,Endpoint * is down and will not receive data for re-replication of *,warn
13095,Tasks * configs updated,info
17124,[*] Error processing autodetect result,warn
11677, Program Arguments:,info
8495,[repair #*] Sending completed merkle tree to * for *.*,info
6359,Error parsing field '*' at line *. *,warn
1958,"Draining RS node created, adding to list [ | ]",info
14279,Zxid outstanding 0x* is less than current 0x*,warn
10576,Failed to locally delete BLOB  |  at ,warn
13896,ZooKeeper connection lost.  Trying to reconnect.,warn
14765,initLimit set to *,info
4794,$$$Empty Message$$$,warn
4549,"Got NPE opening reader, will retry.",warn
11077,Could not read attribute *.,warn
12258,Could not log YARN environment information.,warn
14561,Using committedLog for peer sid: *,info
4546,Log  |  was moved to ,info
9177,Copying artifact: ,info
10434,Cannot add unknown metric type *. This indicates that the reporter does not support this metric type.,warn
1470,getdata rc =  |  ,warn
3758,* Interrupted while waiting * to stop,info
4407,"Min max keys are : [ | ,  | )",info
14968,Failed to authenticate using SASL,warn
4287,$$$Empty Message$$$,warn
641,"Merge failed, might be caused by other chaos: ",warn
326,$$$Empty Message$$$,warn
11366,Could not cleanup uploaded files.,warn
4410,No integrity errors.  We are done with this phase. Glorious.,info
16224,Failed to open / find files while reading metadata snapshot,info
14195,Processing * command from *,info
3143,Full verification started for bulk load hfile: *,info
8645,setinterdcstreamthroughput: throttle set to *,info
4669,Calling ,info
13045,Herder started,info
10510,$$$Empty Message$$$,warn
490,Setting sum result to -1 to indicate error,info
8916,Could not start register mbean in JMX,warn
167, completed,info
1078,"The BitSetNode for procId=* does not exist, maybe a double deletion?",warn
1155,Atomically moving */*'s WALs to *,info
1381,JMXListener has been started at Registry port ,info
8684,Announcing that I have left the ring for *ms,info
10196,The registered Kryo serializer class for class  |  has changed and is no longer valid; using a dummy Kryo serializer that should be replaced |  as soon as a new Kryo serializer for the class is present.,warn
5729,Error loading result renderer: *,warn
3831,"Skipping failover for peer * of node *, peer is null",warn
7510,IFormValidator in form ` | ` depends on a component that has been removed from the page or is no longer visible.  | Offending component id ` | `.,warn
3496,SplitLogWorker  |  exiting,info
17555,API Keys are not available under the current [*] license,info
7592,SecurityManager doesn't allow to read the configuration type from the system properties. The configuration type will be read from the web.xml.,warn
10724,Failed to release user code class loader for ,warn
1695,There are  |  blocks which can't be rebuilt because  | there is no matching bucket size for these blocks,warn
2161,"Skipping, no server for ",info
1902, split ,info
7296,load local truststore -Failed to load truststore from: ,info
1833,Failed parse,warn
2029,Returning success without actually splitting and  | deleting all the log files in path  | : ,warn
7413,$$$Empty Message$$$,warn
11457,Exception while deleting local state directory of checkpoint * in subtask (* - * - *).,warn
3269,"vmName= | , vmVendor= | , vmVersion=",info
10310,exception when close table,warn
3086,failed to switch to stream read,warn
965, test run options=,info
12769,[Principal=%s]: LoginException during login retry; will sleep %d seconds before trying again.,warn
1585,"create fan-out dfs output * failed, retry = *",warn
10316,start open ...,info
3322,Failed to update meta location,info
11619,Task * is already in state *,info
3254,Waited  | ms on a compaction to clean up 'too many store files'; waited  | long enough... proceeding with flush of ,info
2726,Procedure ' | ' execution completed,info
5876,Finished remote host: * (*),info
485,Returning sum  |  for region ,info
5473,Unexpected exception handling blockUntilAvailable,warn
9260,Uninstalling KAR *,info
3778,Got interrupted while waiting for the thread pool to shut down,warn
2572,"Snapshot log and hfile cleaners are present in the configuration,  | but the ' | ' property  | is set to 'false'.",warn
11953,Timer service shutdown exceeded time limit of * ms while waiting for pending timers. Will continue with shutdown procedure.,warn
