,Unnamed: 0,static_text,log_level,tokens,pos,posNum
0,14847,Failed to register with JMX,warn,"[Failed, to, register, with, JMX]","['VERB', 'PART', 'VERB', 'ADP', 'PROPN']","[100, 94, 100, 85, 96]"
1,11871,Restoring state for the * (taskIdx=*).,info,"[Restoring, state, for, the, taskIdx]","['VERB', 'NOUN', 'ADP', 'DET', 'NOUN']","[100, 92, 85, 90, 92]"
2,13250,Starting KafkaOffsetBackingStore,info,"[Starting, KafkaOffsetBackingStore]","['VERB', 'NOUN']","[100, 92]"
3,13925,Unexpected exception,warn,"[Unexpected, exception]","['ADJ', 'NOUN']","[84, 92]"
4,10638,Restoring job * from latest valid checkpoint: *.,info,"[Restoring, job, from, latest, valid, checkpoint]","['VERB', 'NOUN', 'ADP', 'ADJ', 'ADJ', 'NOUN']","[100, 92, 85, 84, 84, 92]"
5,5887,Command: * received from *,info,"[Command, received, from]","['PROPN', 'VERB', 'ADP']","[96, 100, 85]"
6,4099,Write to * on * * in *ms,info,"[Write, to, on, in, ms]","['VERB', 'PART', 'ADP', 'ADP', 'PROPN']","[100, 94, 85, 85, 96]"
7,723,Exception occurred during performing action: ,warn,"[Exception, occurred, during, performing, action]","['NOUN', 'VERB', 'ADP', 'VERB', 'NOUN']","[92, 100, 85, 100, 92]"
8,14339,"Too busy to snap, skipping",warn,"[Too, busy, to, snap, skipping]","['ADV', 'ADJ', 'PART', 'VERB', 'NOUN']","[86, 84, 94, 100, 92]"
9,2428,unknown request type in the queue: ,warn,"[unknown, request, type, in, the, queue]","['ADJ', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN']","[84, 92, 92, 85, 90, 92]"
10,13700,Failed to create or verify topics *,warn,"[Failed, to, create, or, verify, topics]","['VERB', 'PART', 'VERB', 'CCONJ', 'VERB', 'NOUN']","[100, 94, 100, 89, 100, 92]"
11,10604,Failed to locally delete job directory ,warn,"[Failed, to, locally, delete, job, directory]","['VERB', 'PART', 'ADV', 'ADJ', 'NOUN', 'NOUN']","[100, 94, 86, 84, 92, 92]"
12,14578,ReadOnlyRequestProcessor exited loop!,info,"[ReadOnlyRequestProcessor, exited, loop]","['PROPN', 'VERB', 'NOUN']","[96, 100, 92]"
13,4204,"Found more than 1 active master, hash *",warn,"[Found, more, than, 1, active, master, hash]","['VERB', 'ADJ', 'ADP', 'NUM', 'ADJ', 'NOUN', 'NOUN']","[100, 84, 85, 93, 84, 92, 92]"
14,8403,Failed closing *,warn,"[Failed, closing]","['VERB', 'NOUN']","[100, 92]"
15,14716,Passed predicate,info,"[Passed, predicate]","['VERB', 'NOUN']","[100, 92]"
16,9165,Docker PID  |  running,info,"[Docker, PID, running]","['PROPN', 'PROPN', 'VERB']","[96, 96, 100]"
17,8986,You are using Cassandra with an unsupported deployment. The intended logging implementation library logback is not used by slf4j. Detected slf4j logger factory: *. You will not be able to dynamically manage log levels via JMX and may have performance or other issues.,warn,"[You, are, using, Cassandra, with, an, unsupported, deployment, The, intended, logging, implementation, library, logback, is, not, used, by, slf4j, Detected, slf4j, logger, factory, You, will, not, be, able, to, dynamically, manage, log, levels, via, JMX, and, may, have, performance, or, other, issues]","['PRON', 'AUX', 'VERB', 'PROPN', 'ADP', 'DET', 'ADJ', 'NOUN', 'DET', 'VERB', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'AUX', 'PART', 'VERB', 'ADP', 'PROPN', 'VERB', 'PROPN', 'NOUN', 'NOUN', 'PRON', 'AUX', 'PART', 'AUX', 'ADJ', 'PART', 'ADV', 'VERB', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'CCONJ', 'AUX', 'VERB', 'NOUN', 'CCONJ', 'ADJ', 'NOUN']","[95, 87, 100, 96, 85, 90, 84, 92, 90, 100, 100, 92, 92, 92, 87, 94, 100, 85, 96, 100, 96, 92, 92, 95, 87, 94, 87, 84, 94, 86, 100, 92, 92, 85, 96, 89, 87, 100, 92, 89, 84, 92]"
18,5701,Test mail sent successfully!!,info,"[Test, mail, sent, successfully]","['NOUN', 'NOUN', 'VERB', 'ADV']","[92, 92, 100, 86]"
19,12243,Could not properly close the Yarn application status monitor.,info,"[Could, not, properly, close, the, Yarn, application, status, monitor]","['AUX', 'PART', 'ADV', 'VERB', 'DET', 'PROPN', 'NOUN', 'NOUN', 'VERB']","[87, 94, 86, 100, 90, 96, 92, 92, 100]"
20,14759,Error closing logs ,warn,"[Error, closing, logs]","['NOUN', 'NOUN', 'NOUN']","[92, 92, 92]"
21,254,unexpected row-key: ,warn,"[unexpected, row, key]","['ADJ', 'NOUN', 'NOUN']","[84, 92, 92]"
22,4542,Call to makeQualified failed on  |  ,info,"[Call, to, makeQualified, failed, on]","['VERB', 'ADP', 'NUM', 'VERB', 'ADP']","[100, 85, 93, 100, 85]"
23,11857,Path does not exist: *,warn,"[Path, does, not, exist]","['NOUN', 'AUX', 'PART', 'VERB']","[92, 87, 94, 100]"
24,10072,Flushing was interrupted.,warn,"[Flushing, was, interrupted]","['VERB', 'AUX', 'VERB']","[100, 87, 100]"
25,14804,Configuring CommitProcessor with commitBatchSize *,info,"[Configuring, CommitProcessor, with, commitBatchSize]","['PROPN', 'PROPN', 'ADP', 'NUM']","[96, 96, 85, 93]"
26,12805,Error while closing the error stream,warn,"[Error, while, closing, the, error, stream]","['NOUN', 'SCONJ', 'VERB', 'DET', 'NOUN', 'NOUN']","[92, 98, 100, 90, 92, 92]"
27,10264,Regular expression ' | ' for property ' | ' not valid. Using default,warn,"[Regular, expression, for, property, not, valid, Using, default]","['ADJ', 'NOUN', 'ADP', 'NOUN', 'PART', 'ADJ', 'VERB', 'NOUN']","[84, 92, 85, 92, 94, 84, 100, 92]"
28,7535,"Thread '*' failed to acquire lock to page with id '*', attempted for * out of allowed *. The thread that holds the lock has name '*'.",warn,"[Thread, failed, to, acquire, lock, to, page, with, i, d, attempted, for, out, of, allowed, The, thread, that, holds, the, lock, has, name]","['NOUN', 'VERB', 'PART', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'VERB', 'ADP', 'ADP', 'ADP', 'VERB', 'DET', 'NOUN', 'PRON', 'VERB', 'DET', 'NOUN', 'VERB', 'NOUN']","[92, 100, 94, 100, 92, 85, 92, 85, 96, 96, 100, 85, 85, 85, 100, 90, 92, 95, 100, 90, 92, 100, 92]"
29,4463,"Region  |  got merge recently, its file(s) will be cleaned by CatalogJanitor later",info,"[Region, got, merge, recently, its, file, s, will, be, cleaned, by, CatalogJanitor, later]","['NOUN', 'AUX', 'VERB', 'ADV', 'PRON', 'NOUN', 'PRON', 'AUX', 'AUX', 'VERB', 'ADP', 'PROPN', 'ADV']","[92, 87, 100, 86, 95, 92, 95, 87, 87, 100, 85, 96, 86]"
